config,dataset,openml_id,fold,n,d,classes,accuracy,time
cum1_factored,GesturePhaseSegmentationProcessed,4538,0,9873,32,5,0.56,800.6492142677307
cum1_factored,GesturePhaseSegmentationProcessed,4538.0,0.0,9873.0,32.0,5.0,0.56,800.6492142677307
cum1_factored,GesturePhaseSegmentationProcessed,4538,1,9873,32,5,0.5564556962025317,802.7605028152466
cum1_factored,GesturePhaseSegmentationProcessed,4538.0,1.0,9873.0,32.0,5.0,0.5564556962025317,802.7605028152466
cum1_factored,GesturePhaseSegmentationProcessed,4538,2,9873,32,5,0.5529113924050633,806.6561698913574
cum1_factored,GesturePhaseSegmentationProcessed,4538.0,2.0,9873.0,32.0,5.0,0.5529113924050633,806.6561698913574
cum1_factored,GesturePhaseSegmentationProcessed,4538,3,9873,32,5,0.5557244174265451,806.5444405078888
cum1_factored,GesturePhaseSegmentationProcessed,4538.0,3.0,9873.0,32.0,5.0,0.5557244174265451,806.5444405078888
cum1_factored,GesturePhaseSegmentationProcessed,4538,4,9873,32,5,0.5542046605876393,815.3991520404816
cum1_factored,GesturePhaseSegmentationProcessed,4538.0,4.0,9873.0,32.0,5.0,0.5542046605876393,815.3991520404816
cum1_factored,MiceProtein,40966,0,1080,77,8,1.0,133.47769236564636
cum1_factored,MiceProtein,40966.0,0.0,1080.0,77.0,8.0,1.0,133.47769236564636
cum1_factored,MiceProtein,40966,1,1080,77,8,0.9953703703703703,119.4653387069702
cum1_factored,MiceProtein,40966.0,1.0,1080.0,77.0,8.0,0.9953703703703703,119.4653387069702
cum1_factored,MiceProtein,40966,2,1080,77,8,0.9953703703703703,117.93215560913086
cum1_factored,MiceProtein,40966.0,2.0,1080.0,77.0,8.0,0.9953703703703703,117.93215560913086
cum1_factored,MiceProtein,40966,3,1080,77,8,1.0,132.45545196533203
cum1_factored,MiceProtein,40966.0,3.0,1080.0,77.0,8.0,1.0,132.45545196533203
cum1_factored,MiceProtein,40966,4,1080,77,8,0.9861111111111112,148.65087628364563
cum1_factored,MiceProtein,40966.0,4.0,1080.0,77.0,8.0,0.9861111111111112,148.65087628364563
cum1_factored,PhishingWebsites,4534,0,11055,30,2,0.9678878335594754,931.8456439971924
cum1_factored,PhishingWebsites,4534.0,0.0,11055.0,30.0,2.0,0.9678878335594754,931.8456439971924
cum1_factored,PhishingWebsites,4534,1,11055,30,2,0.9678878335594754,1009.9227256774902
cum1_factored,PhishingWebsites,4534.0,1.0,11055.0,30.0,2.0,0.9678878335594754,1009.9227256774902
cum1_factored,PhishingWebsites,4534,2,11055,30,2,0.960651289009498,962.504336833954
cum1_factored,PhishingWebsites,4534.0,2.0,11055.0,30.0,2.0,0.960651289009498,962.504336833954
cum1_factored,PhishingWebsites,4534,3,11055,30,2,0.9678878335594754,910.0918338298798
cum1_factored,PhishingWebsites,4534.0,3.0,11055.0,30.0,2.0,0.9678878335594754,910.0918338298798
cum1_factored,PhishingWebsites,4534,4,11055,30,2,0.968340117593849,912.8735337257384
cum1_factored,PhishingWebsites,4534.0,4.0,11055.0,30.0,2.0,0.968340117593849,912.8735337257384
cum1_factored,analcatdata_authorship,458,0,841,70,4,1.0,101.71721649169922
cum1_factored,analcatdata_authorship,458.0,0.0,841.0,70.0,4.0,1.0,101.71721649169922
cum1_factored,analcatdata_authorship,458,1,841,70,4,0.9940476190476192,95.81140565872192
cum1_factored,analcatdata_authorship,458.0,1.0,841.0,70.0,4.0,0.9940476190476192,95.81140565872192
cum1_factored,analcatdata_authorship,458,2,841,70,4,1.0,92.85232877731325
cum1_factored,analcatdata_authorship,458.0,2.0,841.0,70.0,4.0,1.0,92.85232877731325
cum1_factored,analcatdata_authorship,458,3,841,70,4,0.988095238095238,92.36378884315492
cum1_factored,analcatdata_authorship,458.0,3.0,841.0,70.0,4.0,0.988095238095238,92.36378884315492
cum1_factored,analcatdata_authorship,458,4,841,70,4,1.0,93.53191447257996
cum1_factored,analcatdata_authorship,458.0,4.0,841.0,70.0,4.0,1.0,93.53191447257996
cum1_factored,analcatdata_dmft,469,0,797,4,6,0.175,60.50058436393738
cum1_factored,analcatdata_dmft,469.0,0.0,797.0,4.0,6.0,0.175,60.50058436393738
cum1_factored,analcatdata_dmft,469,1,797,4,6,0.175,60.95328950881958
cum1_factored,analcatdata_dmft,469.0,1.0,797.0,4.0,6.0,0.175,60.95328950881958
cum1_factored,analcatdata_dmft,469,2,797,4,6,0.1886792452830188,62.524821043014526
cum1_factored,analcatdata_dmft,469.0,2.0,797.0,4.0,6.0,0.1886792452830188,62.524821043014526
