config,dataset,openml_id,fold,n,d,classes,accuracy,time
base_catboost,GesturePhaseSegmentationProcessed,4538,0,9873,32,5,0.660253164556962,10.566916465759276
base_catboost,GesturePhaseSegmentationProcessed,4538.0,0.0,9873.0,32.0,5.0,0.660253164556962,10.566916465759276
base_catboost,GesturePhaseSegmentationProcessed,4538,1,9873,32,5,0.6840506329113925,10.42065954208374
base_catboost,GesturePhaseSegmentationProcessed,4538.0,1.0,9873.0,32.0,5.0,0.6840506329113925,10.42065954208374
base_catboost,GesturePhaseSegmentationProcessed,4538,2,9873,32,5,0.669367088607595,10.428698062896729
base_catboost,GesturePhaseSegmentationProcessed,4538.0,2.0,9873.0,32.0,5.0,0.669367088607595,10.428698062896729
base_catboost,GesturePhaseSegmentationProcessed,4538,3,9873,32,5,0.6646403242147924,10.58075785636902
base_catboost,GesturePhaseSegmentationProcessed,4538.0,3.0,9873.0,32.0,5.0,0.6646403242147924,10.58075785636902
base_catboost,GesturePhaseSegmentationProcessed,4538,4,9873,32,5,0.6752786220871327,10.520219326019289
base_catboost,GesturePhaseSegmentationProcessed,4538.0,4.0,9873.0,32.0,5.0,0.6752786220871327,10.520219326019289
base_catboost,MiceProtein,40966,0,1080,77,8,1.0,129.77601051330566
base_catboost,MiceProtein,40966.0,0.0,1080.0,77.0,8.0,1.0,129.77601051330566
base_catboost,MiceProtein,40966,1,1080,77,8,1.0,32.66011714935303
base_catboost,MiceProtein,40966.0,1.0,1080.0,77.0,8.0,1.0,32.66011714935303
base_catboost,MiceProtein,40966,2,1080,77,8,1.0,32.377052545547485
base_catboost,MiceProtein,40966.0,2.0,1080.0,77.0,8.0,1.0,32.377052545547485
base_catboost,MiceProtein,40966,3,1080,77,8,1.0,32.471699714660645
base_catboost,MiceProtein,40966.0,3.0,1080.0,77.0,8.0,1.0,32.471699714660645
base_catboost,MiceProtein,40966,4,1080,77,8,1.0,32.33721947669983
base_catboost,MiceProtein,40966.0,4.0,1080.0,77.0,8.0,1.0,32.33721947669983
base_catboost,PhishingWebsites,4534,0,11055,30,2,,0.0003225803375244
base_catboost,PhishingWebsites,4534.0,0.0,11055.0,30.0,2.0,,0.0003225803375244
base_catboost,PhishingWebsites,4534,1,11055,30,2,,0.0003225803375244
base_catboost,PhishingWebsites,4534.0,1.0,11055.0,30.0,2.0,,0.0003225803375244
base_catboost,PhishingWebsites,4534,2,11055,30,2,,0.0003278255462646
base_catboost,PhishingWebsites,4534.0,2.0,11055.0,30.0,2.0,,0.0003278255462646
base_catboost,PhishingWebsites,4534,3,11055,30,2,,0.0009562969207763
base_catboost,PhishingWebsites,4534.0,3.0,11055.0,30.0,2.0,,0.0009562969207763
base_catboost,PhishingWebsites,4534,4,11055,30,2,,0.0003972053527832
base_catboost,PhishingWebsites,4534.0,4.0,11055.0,30.0,2.0,,0.0003972053527832
base_catboost,analcatdata_authorship,458,0,841,70,4,0.9940828402366864,7.529910802841186
base_catboost,analcatdata_authorship,458.0,0.0,841.0,70.0,4.0,0.9940828402366864,7.529910802841186
base_catboost,analcatdata_authorship,458,1,841,70,4,0.988095238095238,7.910228729248047
base_catboost,analcatdata_authorship,458.0,1.0,841.0,70.0,4.0,0.988095238095238,7.910228729248047
base_catboost,analcatdata_authorship,458,2,841,70,4,0.988095238095238,8.303656578063965
base_catboost,analcatdata_authorship,458.0,2.0,841.0,70.0,4.0,0.988095238095238,8.303656578063965
base_catboost,analcatdata_authorship,458,3,841,70,4,0.988095238095238,7.953119993209839
base_catboost,analcatdata_authorship,458.0,3.0,841.0,70.0,4.0,0.988095238095238,7.953119993209839
base_catboost,analcatdata_authorship,458,4,841,70,4,0.9821428571428572,8.268436431884766
base_catboost,analcatdata_authorship,458.0,4.0,841.0,70.0,4.0,0.9821428571428572,8.268436431884766
base_catboost,analcatdata_dmft,469,0,797,4,6,,0.0001533031463623
base_catboost,analcatdata_dmft,469.0,0.0,797.0,4.0,6.0,,0.0001533031463623
base_catboost,analcatdata_dmft,469,1,797,4,6,,0.0001530647277832
base_catboost,analcatdata_dmft,469.0,1.0,797.0,4.0,6.0,,0.0001530647277832
base_catboost,analcatdata_dmft,469,2,797,4,6,,0.0001676082611083
base_catboost,analcatdata_dmft,469.0,2.0,797.0,4.0,6.0,,0.0001676082611083
base_catboost,analcatdata_dmft,469,3,797,4,6,,0.0001819133758544
base_catboost,analcatdata_dmft,469.0,3.0,797.0,4.0,6.0,,0.0001819133758544
base_catboost,analcatdata_dmft,469,4,797,4,6,,0.0001728534698486
base_catboost,analcatdata_dmft,469.0,4.0,797.0,4.0,6.0,,0.0001728534698486
base_catboost,balance-scale,11,0,625,4,3,0.856,0.6515436172485352
base_catboost,balance-scale,11.0,0.0,625.0,4.0,3.0,0.856,0.6515436172485352
base_catboost,balance-scale,11,1,625,4,3,0.864,0.6293385028839111
base_catboost,balance-scale,11.0,1.0,625.0,4.0,3.0,0.864,0.6293385028839111
base_catboost,balance-scale,11,2,625,4,3,0.872,0.6545720100402832
base_catboost,balance-scale,11.0,2.0,625.0,4.0,3.0,0.872,0.6545720100402832
base_catboost,balance-scale,11,3,625,4,3,0.92,0.5936317443847656
base_catboost,balance-scale,11.0,3.0,625.0,4.0,3.0,0.92,0.5936317443847656
base_catboost,balance-scale,11,4,625,4,3,0.872,0.6768975257873535
base_catboost,balance-scale,11.0,4.0,625.0,4.0,3.0,0.872,0.6768975257873535
base_catboost,banknote-authentication,1462,0,1372,4,2,1.0,0.3637886047363281
base_catboost,banknote-authentication,1462.0,0.0,1372.0,4.0,2.0,1.0,0.3637886047363281
base_catboost,banknote-authentication,1462,1,1372,4,2,1.0,0.371074914932251
base_catboost,banknote-authentication,1462.0,1.0,1372.0,4.0,2.0,1.0,0.371074914932251
base_catboost,banknote-authentication,1462,2,1372,4,2,1.0,0.364429235458374
base_catboost,banknote-authentication,1462.0,2.0,1372.0,4.0,2.0,1.0,0.364429235458374
base_catboost,banknote-authentication,1462,3,1372,4,2,0.9890510948905108,0.3628652095794678
base_catboost,banknote-authentication,1462.0,3.0,1372.0,4.0,2.0,0.9890510948905108,0.3628652095794678
base_catboost,banknote-authentication,1462,4,1372,4,2,1.0,1.904546976089477
base_catboost,banknote-authentication,1462.0,4.0,1372.0,4.0,2.0,1.0,1.904546976089477
base_catboost,blood-transfusion-service-center,1464,0,748,4,2,0.8066666666666666,0.5835714340209961
base_catboost,blood-transfusion-service-center,1464.0,0.0,748.0,4.0,2.0,0.8066666666666666,0.5835714340209961
base_catboost,blood-transfusion-service-center,1464,1,748,4,2,0.8,0.865135669708252
base_catboost,blood-transfusion-service-center,1464.0,1.0,748.0,4.0,2.0,0.8,0.865135669708252
base_catboost,blood-transfusion-service-center,1464,2,748,4,2,0.7866666666666666,0.88950514793396
base_catboost,blood-transfusion-service-center,1464.0,2.0,748.0,4.0,2.0,0.7866666666666666,0.88950514793396
base_catboost,blood-transfusion-service-center,1464,3,748,4,2,0.8120805369127517,0.853623628616333
base_catboost,blood-transfusion-service-center,1464.0,3.0,748.0,4.0,2.0,0.8120805369127517,0.853623628616333
base_catboost,blood-transfusion-service-center,1464,4,748,4,2,0.785234899328859,0.9579830169677734
base_catboost,blood-transfusion-service-center,1464.0,4.0,748.0,4.0,2.0,0.785234899328859,0.9579830169677734
base_catboost,breast-w,15,0,699,9,2,0.9714285714285714,0.8319802284240723
base_catboost,breast-w,15.0,0.0,699.0,9.0,2.0,0.9714285714285714,0.8319802284240723
base_catboost,breast-w,15,1,699,9,2,0.9571428571428572,0.5820457935333252
base_catboost,breast-w,15.0,1.0,699.0,9.0,2.0,0.9571428571428572,0.5820457935333252
base_catboost,breast-w,15,2,699,9,2,0.9785714285714284,0.6757912635803223
base_catboost,breast-w,15.0,2.0,699.0,9.0,2.0,0.9785714285714284,0.6757912635803223
base_catboost,breast-w,15,3,699,9,2,0.9714285714285714,0.7159650325775146
base_catboost,breast-w,15.0,3.0,699.0,9.0,2.0,0.9714285714285714,0.7159650325775146
base_catboost,breast-w,15,4,699,9,2,0.9640287769784172,0.8455169200897217
base_catboost,breast-w,15.0,4.0,699.0,9.0,2.0,0.9640287769784172,0.8455169200897217
base_catboost,car,40975,0,1728,6,4,,0.0001811981201171
base_catboost,car,40975.0,0.0,1728.0,6.0,4.0,,0.0001811981201171
base_catboost,car,40975,1,1728,6,4,,0.0002155303955078
base_catboost,car,40975.0,1.0,1728.0,6.0,4.0,,0.0002155303955078
base_catboost,car,40975,2,1728,6,4,,0.0001859664916992
base_catboost,car,40975.0,2.0,1728.0,6.0,4.0,,0.0001859664916992
base_catboost,car,40975,3,1728,6,4,,0.0002095699310302
base_catboost,car,40975.0,3.0,1728.0,6.0,4.0,,0.0002095699310302
base_catboost,car,40975,4,1728,6,4,,0.0001842975616455
base_catboost,car,40975.0,4.0,1728.0,6.0,4.0,,0.0001842975616455
base_catboost,churn,40701,0,5000,20,2,,0.0002892017364501
base_catboost,churn,40701.0,0.0,5000.0,20.0,2.0,,0.0002892017364501
base_catboost,churn,40701,1,5000,20,2,,0.0002901554107666
base_catboost,churn,40701.0,1.0,5000.0,20.0,2.0,,0.0002901554107666
base_catboost,churn,40701,2,5000,20,2,,0.0001695156097412
base_catboost,churn,40701.0,2.0,5000.0,20.0,2.0,,0.0001695156097412
base_catboost,churn,40701,3,5000,20,2,,0.0001718997955322
base_catboost,churn,40701.0,3.0,5000.0,20.0,2.0,,0.0001718997955322
base_catboost,churn,40701,4,5000,20,2,,0.0001749992370605
base_catboost,churn,40701.0,4.0,5000.0,20.0,2.0,,0.0001749992370605
base_catboost,climate-model-simulation-crashes,40994,0,540,18,2,0.9444444444444444,5.498359680175781
base_catboost,climate-model-simulation-crashes,40994.0,0.0,540.0,18.0,2.0,0.9444444444444444,5.498359680175781
base_catboost,climate-model-simulation-crashes,40994,1,540,18,2,0.9444444444444444,5.13572883605957
base_catboost,climate-model-simulation-crashes,40994.0,1.0,540.0,18.0,2.0,0.9444444444444444,5.13572883605957
base_catboost,climate-model-simulation-crashes,40994,2,540,18,2,0.9629629629629628,5.147524833679199
