,method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
0,"AutoGluon 1.5 (extreme, 4h)",1650.0,105.3,83.8,8.817261904761905,0.86285514,0.044647326300170875,0.023104845061166862,0.019965376661869053,0.30555352288885274,4.211111111111111,2.227777777777778,2.5166666666666666,19.044444444444444,2704.496428328232,27.953214604419376,432.35681789765914,7.70037949719404,0.2373018420496524,0.3255685728920142,0.0,6.944444444444445,0.0336209353895535,0.021309552835362004,0.17710205338047663,1167.4856798119015,10.661844452222187,265.99456875738395,5.211644994938723,0.180200829686638,0.2522512702096755,0.0,baseline,,,AutoGluon_v150_eq_4h8c,tabarena-2025-12-18
1,TABICLV2 (default),1615.3,108.0,88.2,10.153968253968255,0.83940405,0.06441645967196782,0.05823095739211831,0.03553813614065267,0.3114211182052492,4.866666666666666,2.2666666666666666,1.6555555555555554,19.211111111111112,23.11152976533723,1.394463846134761,8.965716178223106,0.6768165800951784,0.21778336251797722,0.36560893270260264,0.0,7.4,0.02960204971721132,0.03217187708009965,0.18681734866178698,11.017267929183113,0.5255573193232218,5.148072449747504,0.44311748917965954,0.1256023866303992,0.3095543597295315,0.0,config,default,TABICLV2,TabICLv2,tabarena-2026-02-16
2,"AutoGluon 1.4 (extreme, 4h)",1610.5,77.1,62.8,10.35297619047619,0.83591276,0.08351629375566495,0.06085063793865132,0.046554116461726955,0.19190417823919445,1.1222222222222222,1.4333333333333333,2.033333333333333,23.41111111111111,3597.8537834597014,28.41897718740834,831.7071970108454,10.220322642388473,0.2897471670542746,0.3893302588303246,0.0,8.216666666666667,0.03983957700768531,0.03355275028008098,0.1785288450664283,1841.9549073576927,12.651575949456957,596.23951902004,6.827612654472251,0.23862008895038622,0.31998158981962854,0.0,baseline,,,AutoGluon_v140_eq_4h8c,tabarena-2025-11-01
3,REALTABPFN-V2.5 (tuned + ensemble),1572.5,94.2,75.0,12.015873015873016,0.80673915,0.08013171082165453,0.04726374251266309,0.03797551024141418,0.2089461898448448,1.4833333333333334,3.183333333333333,1.6555555555555554,21.677777777777777,11290.312965484698,112.1514145705435,2745.8166469264543,18.190903656775586,0.3494297955769539,0.4359080453256919,0.0,11.838888888888889,0.05062847319571245,0.0399250985690551,0.1781040388326069,5733.166014724307,13.121517968177795,2085.028357222764,8.2526678810929,0.31771989099050935,0.46075935387822053,0.0,hpo,tuned_ensemble,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
4,REALTABPFN-V2.5 (tuned),1554.5,80.7,66.8,12.86547619047619,0.7918338,0.08567377219156735,0.05419544411195956,0.039547392698370425,0.17852386645823387,1.238888888888889,1.3055555555555556,2.3444444444444446,23.11111111111111,11290.312965484698,8.555028361176687,2745.8166469264543,1.5751476184698112,0.3738123626683048,0.4546578374875353,0.0,12.925,0.04968317654482782,0.041982941825823364,0.17732651998499419,5733.166014724307,1.3341594603326585,2085.028357222764,1.2298076838882626,0.3636662021899975,0.5052528850892238,0.0,hpo,tuned,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
5,REALTABPFN-V2.5 (default),1538.7,75.0,60.8,13.651587301587302,0.7780423,0.09052897248232308,0.05990577621598975,0.043218813066365956,0.15071178499981344,0.7444444444444445,0.9777777777777777,1.4777777777777779,24.8,36.6416644496104,5.281097197343433,7.770955928982096,1.028661259268795,0.37939759657610944,0.5024882761855431,0.0,11.5,0.050109906960183734,0.04623075567000076,0.1789964212010343,11.308947139316135,0.8961519890361362,5.758447087149975,0.6328320699714327,0.27858071177389054,0.4828937811772231,0.0,config,default,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
6,"AutoGluon 1.4 (best, 4h)",1466.8,76.0,59.0,17.612103174603174,0.70855963,0.11499014710290989,0.0712116965611686,0.052567738945303324,0.1283387129346246,0.8777777777777778,0.9888888888888888,0.6777777777777777,25.455555555555556,7627.293037187722,12.83529603438718,3373.0235602098774,2.3105371403827304,0.5573265580863931,0.5837437443315626,0.0,16.011111111111113,0.06796543300754268,0.0865253551649919,0.18199040953649806,6786.091768052843,2.0916072673267787,2738.639889572575,1.9698695866516363,0.5463765949079273,0.59234100373629,0.0,baseline,,,AutoGluon_v140_bq_4h8c,tabarena-2025-11-01
7,REALMLP_GPU (tuned + ensemble),1446.9,63.9,52.9,18.810119047619047,0.68754184,0.12423236760132604,0.0664603866124628,0.05582982976683595,0.09345603113991097,0.3333333333333333,0.3555555555555555,0.38888888888888884,26.92222222222222,18871.61269736782,24.68522989267395,3359.123717579589,26.688401989324486,0.5927809903378402,0.6509330197459128,0.0,19.174999999999997,0.0765536529866247,0.07363898349387027,0.1816522916735387,8191.357462022039,23.257384673754373,2995.960987947633,16.792777143417517,0.6490426098649467,0.7129738719672392,0.0,hpo,tuned_ensemble,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
8,TABM_GPU (tuned + ensemble),1432.1,61.4,57.8,19.72222222222222,0.67153996,0.1293877233676856,0.07415017486370909,0.05970563016393998,0.10182721500967039,0.3555555555555555,1.2,1.0,25.444444444444443,15888.999002600189,4.773535906700862,3531.2278390958386,2.665237122875585,0.6357847668172244,0.6774194009529433,0.0,20.28333333333333,0.08621780676105892,0.09237748603306453,0.1787480337852299,6769.322958224349,2.5535099506378174,2538.474707235839,1.5022465694891438,0.6792150251914961,0.7158807538144749,0.0,hpo,tuned_ensemble,TABM_GPU,TabM_GPU,tabarena-2025-06-12
9,TABICL_GPU (default),1427.2,82.1,69.4,20.026388888888892,0.6662038,0.12533764244416717,0.06970034332156885,0.05813541705283326,0.11485974493092997,0.39999999999999997,1.5222222222222221,0.6,25.477777777777778,58.74441073073281,10.007472886736432,9.371098978119562,1.8814125018440602,0.5702981891955428,0.6255759997848126,0.03571428571428571,18.352777777777778,0.07028982477322131,0.07863452118606364,0.1879838239870754,21.13094205326504,2.3613671395513744,8.586328708772456,1.684983020115586,0.6100337842961324,0.6759167167239628,0.0,config,default,TABICL_GPU,TabICL_GPU,tabarena-2025-06-12
